#_n       log10(n)       time_genlog10(time_gen)       time_ourlog10(time_our)
5        0.69897          1e-06             -6          1e-06             -6
10              1          1e-06             -6          1e-06             -6
50        1.69897          1e-06             -6          2e-06       -5.69897
100              2          3e-06       -5.52288          2e-06       -5.69897
500        2.69897        1.4e-05       -4.85387        1.1e-05       -4.95861
1000              3        2.9e-05        -4.5376        3.9e-05       -4.40894
5000        3.69897       0.000155       -3.80967       0.000121       -3.91721
10000              4        0.00031       -3.50864        0.00018       -3.74473
50000        4.69897       0.001282       -2.89211       0.000908       -3.04191
100000              5       0.003063       -2.51385       0.002118       -2.67407
500000        5.69897       0.012167       -1.91482       0.009076       -2.04211
1000000              6       0.023728       -1.62474       0.018688       -1.72844
5000000        6.69897       0.123043      -0.909943       0.090099       -1.04528
10000000              7       0.248226      -0.605153        0.18488       -0.73311
50000000        7.69897        1.22033       0.086478       0.907956     -0.0419352
