# h                  d1                 d2
-5.0000000000e+00   -5.3266083383e+00   -1.0634425822e+01
-4.9696969697e+00   -5.2963068163e+00   -1.0472442523e+01
-4.9393939394e+00   -5.2660017192e+00   -1.0935029023e+01
-4.9090909091e+00   -5.2357000982e+00   -1.0517142844e+01
-4.8787878788e+00   -5.2053957932e+00   -1.0635936988e+01
-4.8484848485e+00   -5.1750946511e+00   -1.0312962494e+01
-4.8181818182e+00   -5.1447909824e+00   -1.0320984483e+01
-4.7878787879e+00   -5.1144884862e+00   -1.0296640420e+01
-4.7575757576e+00   -5.0841852599e+00   -1.0261466329e+01
-4.7272727273e+00   -5.0538821939e+00   -1.0151305792e+01
-4.6969696970e+00   -5.0235793454e+00   -1.0097718051e+01
-4.6666666667e+00   -4.9932764879e+00   -1.0068681785e+01
-4.6363636364e+00   -4.9629741935e+00   -9.9947785458e+00
-4.6060606061e+00   -4.9326712162e+00   -9.9549629895e+00
-4.5757575758e+00   -4.9023681131e+00   -9.8994043528e+00
-4.5454545455e+00   -4.8720657132e+00   -9.8294135937e+00
-4.5151515152e+00   -4.8417628640e+00   -9.7674311593e+00
-4.4848484848e+00   -4.8114602469e+00   -9.7051948626e+00
-4.4545454545e+00   -4.7811575997e+00   -9.6442359561e+00
-4.4242424242e+00   -4.7508550482e+00   -9.5877848019e+00
-4.3939393939e+00   -4.7205526242e+00   -9.5195515389e+00
-4.3636363636e+00   -4.6902499949e+00   -9.4581500862e+00
-4.3333333333e+00   -4.6599475946e+00   -9.3980502817e+00
-4.3030303030e+00   -4.6296450550e+00   -9.3393942373e+00
-4.2727272727e+00   -4.5993426310e+00   -9.2795722473e+00
-4.2424242424e+00   -4.5690402766e+00   -9.2173607390e+00
-4.2121212121e+00   -4.5387379193e+00   -9.1569737907e+00
-4.1818181818e+00   -4.5084356392e+00   -9.0965341425e+00
-4.1515151515e+00   -4.4781334309e+00   -9.0359188496e+00
-4.1212121212e+00   -4.4478312711e+00   -8.9750777931e+00
-4.0909090909e+00   -4.4175291798e+00   -8.9148430375e+00
-4.0606060606e+00   -4.3872271560e+00   -8.8536036871e+00
-4.0303030303e+00   -4.3569251954e+00   -8.7930047648e+00
-4.0000000000e+00   -4.3266233219e+00   -8.7324195402e+00
-3.9696969697e+00   -4.2963215317e+00   -8.6715440021e+00
-3.9393939394e+00   -4.2660198230e+00   -8.6109562583e+00
-3.9090909091e+00   -4.2357182024e+00   -8.5506132456e+00
-3.8787878788e+00   -4.2054166959e+00   -8.4898864144e+00
-3.8484848485e+00   -4.1751152791e+00   -8.4294472255e+00
-3.8181818182e+00   -4.1448140003e+00   -8.3688530976e+00
-3.7878787879e+00   -4.1145128465e+00   -8.3081651679e+00
-3.7575757576e+00   -4.0842118312e+00   -8.2475406640e+00
-3.7272727273e+00   -4.0539109522e+00   -8.1869866219e+00
-3.6969696970e+00   -4.0236102324e+00   -8.1263540140e+00
-3.6666666667e+00   -3.9933096758e+00   -8.0657486892e+00
-3.6363636364e+00   -3.9630093045e+00   -8.0051165358e+00
-3.6060606061e+00   -3.9327091222e+00   -7.9445256286e+00
-3.5757575758e+00   -3.9024091449e+00   -7.8839252605e+00
-3.5454545455e+00   -3.8721093907e+00   -7.8232917762e+00
-3.5151515152e+00   -3.8418098721e+00   -7.7626952892e+00
-3.4848484848e+00   -3.8115106058e+00   -7.7020994392e+00
-3.4545454545e+00   -3.7812116125e+00   -7.6414892278e+00
-3.4242424242e+00   -3.7509129115e+00   -7.5808786796e+00
-3.3939393939e+00   -3.7206145228e+00   -7.5202744979e+00
-3.3636363636e+00   -3.6903164691e+00   -7.4596694159e+00
-3.3333333333e+00   -3.6600187767e+00   -7.3990580893e+00
-3.3030303030e+00   -3.6297214682e+00   -7.3384530494e+00
-3.2727272727e+00   -3.5994245729e+00   -7.2778499829e+00
-3.2424242424e+00   -3.5691281225e+00   -7.2172409193e+00
-3.2121212121e+00   -3.5388321465e+00   -7.1566370866e+00
-3.1818181818e+00   -3.5085366798e+00   -7.0960317959e+00
-3.1515151515e+00   -3.4782417614e+00   -7.0354223824e+00
-3.1212121212e+00   -3.4479474276e+00   -6.9748184637e+00
-3.0909090909e+00   -3.4176537229e+00   -6.9142120249e+00
-3.0606060606e+00   -3.3873606914e+00   -6.8536061374e+00
-3.0303030303e+00   -3.3570683831e+00   -6.7929996942e+00
-3.0000000000e+00   -3.3267768491e+00   -6.7323939820e+00
-2.9696969697e+00   -3.2964861459e+00   -6.6717878613e+00
-2.9393939394e+00   -3.2661963334e+00   -6.6111815876e+00
-2.9090909091e+00   -3.2359074757e+00   -6.5505757364e+00
-2.8787878788e+00   -3.2056196423e+00   -6.4899695945e+00
-2.8484848485e+00   -3.1753329067e+00   -6.4293635357e+00
-2.8181818182e+00   -3.1450473485e+00   -6.3687574007e+00
-2.7878787879e+00   -3.1147630525e+00   -6.3081513228e+00
-2.7575757576e+00   -3.0844801099e+00   -6.2475452994e+00
-2.7272727273e+00   -3.0541986187e+00   -6.1869392549e+00
-2.6969696970e+00   -3.0239186834e+00   -6.1263331391e+00
-2.6666666667e+00   -2.9936404167e+00   -6.0657270397e+00
-2.6363636364e+00   -2.9633639387e+00   -6.0051209900e+00
-2.6060606061e+00   -2.9330893789e+00   -5.9445149178e+00
-2.5757575758e+00   -2.9028168756e+00   -5.8839088568e+00
-2.5454545455e+00   -2.8725465774e+00   -5.8233028032e+00
-2.5151515152e+00   -2.8422786434e+00   -5.7626967295e+00
-2.4848484848e+00   -2.8120132443e+00   -5.7020906538e+00
-2.4545454545e+00   -2.7817505632e+00   -5.6414845904e+00
-2.4242424242e+00   -2.7514907960e+00   -5.5808785332e+00
-2.3939393939e+00   -2.7212341534e+00   -5.5202724535e+00
-2.3636363636e+00   -2.6909808605e+00   -5.4596663791e+00
-2.3333333333e+00   -2.6607311593e+00   -5.3990603010e+00
-2.3030303030e+00   -2.6304853087e+00   -5.3384542215e+00
-2.2727272727e+00   -2.6002435867e+00   -5.2778481407e+00
-2.2424242424e+00   -2.5700062909e+00   -5.2172420550e+00
-2.2121212121e+00   -2.5397737407e+00   -5.1566359672e+00
-2.1818181818e+00   -2.5095462783e+00   -5.0960298724e+00
-2.1515151515e+00   -2.4793242704e+00   -5.0354237754e+00
-2.1212121212e+00   -2.4491081102e+00   -4.9748176708e+00
-2.0909090909e+00   -2.4188982194e+00   -4.9142115607e+00
-2.0606060606e+00   -2.3886950495e+00   -4.8536054428e+00
-2.0303030303e+00   -2.3584990849e+00   -4.7929993170e+00
-2.0000000000e+00   -2.3283108445e+00   -4.7323931809e+00
