# h                  d1                 d2
-2.0000000000e+00   -2.3283108445e+00                 nan
-2.0202020202e+00   -2.3484354531e+00                 nan
-2.0404040404e+00   -2.3685635746e+00                 nan
-2.0606060606e+00   -2.3886950495e+00                 nan
-2.0808080808e+00   -2.4088297261e+00                 nan
-2.1010101010e+00   -2.4289674592e+00                 nan
-2.1212121212e+00   -2.4491081102e+00                 nan
-2.1414141414e+00   -2.4692515470e+00                 nan
-2.1616161616e+00   -2.4893976432e+00                 nan
-2.1818181818e+00   -2.5095462783e+00                 nan
-2.2020202020e+00   -2.5296973370e+00                 nan
-2.2222222222e+00   -2.5498507095e+00                 nan
-2.2424242424e+00   -2.5700062909e+00                 nan
-2.2626262626e+00   -2.5901639810e+00                 nan
-2.2828282828e+00   -2.6103236840e+00                 nan
-2.3030303030e+00   -2.6304853087e+00                 nan
-2.3232323232e+00   -2.6506487679e+00                 nan
-2.3434343434e+00   -2.6708139783e+00                 nan
-2.3636363636e+00   -2.6909808605e+00                 nan
-2.3838383838e+00   -2.7111493386e+00                 nan
-2.4040404040e+00   -2.7313193402e+00                 nan
-2.4242424242e+00   -2.7514907960e+00                 nan
-2.4444444444e+00   -2.7716636403e+00                 nan
-2.4646464646e+00   -2.7918378097e+00                 nan
-2.4848484848e+00   -2.8120132443e+00                 nan
-2.5050505051e+00   -2.8321898866e+00                 nan
-2.5252525253e+00   -2.8523676817e+00                 nan
-2.5454545455e+00   -2.8725465774e+00                 nan
-2.5656565657e+00   -2.8927265236e+00                 nan
-2.5858585859e+00   -2.9129074725e+00                 nan
-2.6060606061e+00   -2.9330893789e+00                 nan
-2.6262626263e+00   -2.9532721990e+00                 nan
-2.6464646465e+00   -2.9734558915e+00                 nan
-2.6666666667e+00   -2.9936404167e+00                 nan
-2.6868686869e+00   -3.0138257367e+00                 nan
-2.7070707071e+00   -3.0340118155e+00                 nan
-2.7272727273e+00   -3.0541986187e+00                 nan
-2.7474747475e+00   -3.0743861132e+00                 nan
-2.7676767677e+00   -3.0945742679e+00                 nan
-2.7878787879e+00   -3.1147630525e+00                 nan
-2.8080808081e+00   -3.1349524384e+00                 nan
-2.8282828283e+00   -3.1551423985e+00                 nan
-2.8484848485e+00   -3.1753329067e+00                 nan
-2.8686868687e+00   -3.1955239379e+00                 nan
-2.8888888889e+00   -3.2157154687e+00                 nan
-2.9090909091e+00   -3.2359074757e+00                 nan
-2.9292929293e+00   -3.2560999381e+00                 nan
-2.9494949495e+00   -3.2762928346e+00                 nan
-2.9696969697e+00   -3.2964861459e+00                 nan
-2.9898989899e+00   -3.3166798531e+00                 nan
-3.0101010101e+00   -3.3368739376e+00                 nan
-3.0303030303e+00   -3.3570683831e+00                 nan
-3.0505050505e+00   -3.3772631728e+00                 nan
-3.0707070707e+00   -3.3974582909e+00                 nan
-3.0909090909e+00   -3.4176537229e+00                 nan
-3.1111111111e+00   -3.4378494538e+00                 nan
-3.1313131313e+00   -3.4580454713e+00                 nan
-3.1515151515e+00   -3.4782417614e+00                 nan
-3.1717171717e+00   -3.4984383114e+00                 nan
-3.1919191919e+00   -3.5186351101e+00                 nan
-3.2121212121e+00   -3.5388321465e+00                 nan
-3.2323232323e+00   -3.5590294089e+00                 nan
-3.2525252525e+00   -3.5792268884e+00                 nan
-3.2727272727e+00   -3.5994245729e+00                 nan
-3.2929292929e+00   -3.6196224557e+00                 nan
-3.3131313131e+00   -3.6398205264e+00                 nan
-3.3333333333e+00   -3.6600187767e+00                 nan
-3.3535353535e+00   -3.6802171973e+00                 nan
-3.3737373737e+00   -3.7004157828e+00                 nan
-3.3939393939e+00   -3.7206145228e+00                 nan
-3.4141414141e+00   -3.7408134125e+00                 nan
-3.4343434343e+00   -3.7610124435e+00                 nan
-3.4545454545e+00   -3.7812116125e+00                 nan
-3.4747474747e+00   -3.8014109111e+00                 nan
-3.4949494949e+00   -3.8216103307e+00                 nan
-3.5151515152e+00   -3.8418098721e+00                 nan
-3.5353535354e+00   -3.8620095226e+00                 nan
-3.5555555556e+00   -3.8822092870e+00                 nan
-3.5757575758e+00   -3.9024091449e+00                 nan
-3.5959595960e+00   -3.9226091057e+00                 nan
-3.6161616162e+00   -3.9428091654e+00                 nan
-3.6363636364e+00   -3.9630093045e+00                 nan
-3.6565656566e+00   -3.9832095354e+00                 nan
-3.6767676768e+00   -4.0034098429e+00                 nan
-3.6969696970e+00   -4.0236102324e+00                 nan
-3.7171717172e+00   -4.0438106967e+00                 nan
-3.7373737374e+00   -4.0640112297e+00                 nan
-3.7575757576e+00   -4.0842118312e+00                 nan
-3.7777777778e+00   -4.1044124889e+00                 nan
-3.7979797980e+00   -4.1246132219e+00                 nan
-3.8181818182e+00   -4.1448140003e+00                 nan
-3.8383838384e+00   -4.1650148419e+00                 nan
-3.8585858586e+00   -4.1852157382e+00                 nan
-3.8787878788e+00   -4.2054166959e+00                 nan
-3.8989898990e+00   -4.2256176866e+00                 nan
-3.9191919192e+00   -4.2458187309e+00                 nan
-3.9393939394e+00   -4.2660198230e+00                 nan
-3.9595959596e+00   -4.2862209362e+00                 nan
-3.9797979798e+00   -4.3064221069e+00                 nan
-4.0000000000e+00   -4.3266233219e+00                 nan
