# h                  d1                 d2
1.0000000000e-05    3.3333176199e-01    3.3333333334e-01
1.0722672220e-05    3.3333164844e-01    3.3333333334e-01
1.1497569954e-05    3.3333152667e-01    3.3333333334e-01
1.2328467394e-05    3.3333139611e-01    3.3333333334e-01
1.3219411485e-05    3.3333125611e-01    3.3333333334e-01
1.4174741629e-05    3.3333110601e-01    3.3333333335e-01
1.5199110830e-05    3.3333094504e-01    3.3333333335e-01
1.6297508346e-05    3.3333077245e-01    3.3333333335e-01
1.7475284000e-05    3.3333058738e-01    3.3333333335e-01
1.8738174229e-05    3.3333038894e-01    3.3333333336e-01
2.0092330026e-05    3.3333017615e-01    3.3333333336e-01
2.1544346900e-05    3.3332994799e-01    3.3333333336e-01
2.3101297001e-05    3.3332970335e-01    3.3333333337e-01
2.4770763560e-05    3.3332944102e-01    3.3333333337e-01
2.6560877829e-05    3.3332915974e-01    3.3333333338e-01
2.8480358684e-05    3.3332885813e-01    3.3333333338e-01
3.0538555088e-05    3.3332853472e-01    3.3333333339e-01
3.2745491629e-05    3.3332818794e-01    3.3333333340e-01
3.5111917342e-05    3.3332781610e-01    3.3333333341e-01
3.7649358068e-05    3.3332741739e-01    3.3333333342e-01
4.0370172586e-05    3.3332698987e-01    3.3333333343e-01
4.3287612811e-05    3.3332653146e-01    3.3333333345e-01
4.6415888336e-05    3.3332603991e-01    3.3333333347e-01
4.9770235643e-05    3.3332551285e-01    3.3333333349e-01
5.3366992312e-05    3.3332494770e-01    3.3333333351e-01
5.7223676594e-05    3.3332434170e-01    3.3333333354e-01
6.1359072734e-05    3.3332369192e-01    3.3333333357e-01
6.5793322466e-05    3.3332299518e-01    3.3333333360e-01
7.0548023107e-05    3.3332224809e-01    3.3333333364e-01
7.5646332755e-05    3.3332144701e-01    3.3333333369e-01
8.1113083079e-05    3.3332058805e-01    3.3333333374e-01
8.6974900262e-05    3.3331966701e-01    3.3333333380e-01
9.3260334688e-05    3.3331867942e-01    3.3333333387e-01
1.0000000000e-04    3.3331762047e-01    3.3333333395e-01
1.0722672220e-04    3.3331648499e-01    3.3333333404e-01
1.1497569954e-04    3.3331526746e-01    3.3333333415e-01
1.2328467394e-04    3.3331396195e-01    3.3333333427e-01
1.3219411485e-04    3.3331256211e-01    3.3333333441e-01
1.4174741629e-04    3.3331106112e-01    3.3333333457e-01
1.5199110830e-04    3.3330945166e-01    3.3333333476e-01
1.6297508346e-04    3.3330772591e-01    3.3333333497e-01
1.7475284000e-04    3.3330587546e-01    3.3333333522e-01
1.8738174229e-04    3.3330389130e-01    3.3333333550e-01
2.0092330026e-04    3.3330176377e-01    3.3333333583e-01
2.1544346900e-04    3.3329948252e-01    3.3333333620e-01
2.3101297001e-04    3.3329703644e-01    3.3333333663e-01
2.4770763560e-04    3.3329441362e-01    3.3333333712e-01
2.6560877829e-04    3.3329160129e-01    3.3333333769e-01
2.8480358684e-04    3.3328858577e-01    3.3333333834e-01
3.0538555088e-04    3.3328535238e-01    3.3333333909e-01
3.2745491629e-04    3.3328188538e-01    3.3333333995e-01
3.5111917342e-04    3.3327816789e-01    3.3333334094e-01
3.7649358068e-04    3.3327418182e-01    3.3333334208e-01
4.0370172586e-04    3.3326990779e-01    3.3333334339e-01
4.3287612811e-04    3.3326532498e-01    3.3333334490e-01
