# h                  d1                 d2
4.6415888336e-04    3.3326041110e-01    3.3333334663e-01
4.9770235643e-04    3.3325514224e-01    3.3333334862e-01
5.3366992312e-04    3.3324949277e-01    3.3333335091e-01
5.7223676594e-04    3.3324343521e-01    3.3333335355e-01
6.1359072734e-04    3.3323694009e-01    3.3333335657e-01
6.5793322466e-04    3.3322997582e-01    3.3333336005e-01
7.0548023107e-04    3.3322250853e-01    3.3333336406e-01
7.5646332755e-04    3.3321450190e-01    3.3333336866e-01
8.1113083079e-04    3.3320591702e-01    3.3333337395e-01
8.6974900262e-04    3.3319671215e-01    3.3333338003e-01
9.3260334688e-04    3.3318684253e-01    3.3333338702e-01
1.0000000000e-03    3.3317626020e-01    3.3333339506e-01
1.0722672220e-03    3.3316491375e-01    3.3333340431e-01
1.1497569954e-03    3.3315274803e-01    3.3333341493e-01
1.2328467394e-03    3.3313970395e-01    3.3333342715e-01
1.3219411485e-03    3.3312571815e-01    3.3333344121e-01
1.4174741629e-03    3.3311072273e-01    3.3333345736e-01
1.5199110830e-03    3.3309464489e-01    3.3333347593e-01
1.6297508346e-03    3.3307740658e-01    3.3333349729e-01
1.7475284000e-03    3.3305892415e-01    3.3333352184e-01
1.8738174229e-03    3.3303910796e-01    3.3333355007e-01
2.0092330026e-03    3.3301786188e-01    3.3333358253e-01
2.1544346900e-03    3.3299508293e-01    3.3333361985e-01
2.3101297001e-03    3.3297066068e-01    3.3333366276e-01
2.4770763560e-03    3.3294447683e-01    3.3333371209e-01
2.6560877829e-03    3.3291640456e-01    3.3333376882e-01
2.8480358684e-03    3.3288630797e-01    3.3333383403e-01
3.0538555088e-03    3.3285404142e-01    3.3333390901e-01
3.2745491629e-03    3.3281944885e-01    3.3333399523e-01
3.5111917342e-03    3.3278236304e-01    3.3333409435e-01
3.7649358068e-03    3.3274260480e-01    3.3333420832e-01
4.0370172586e-03    3.3269998214e-01    3.3333433935e-01
4.3287612811e-03    3.3265428938e-01    3.3333449001e-01
4.6415888336e-03    3.3260530617e-01    3.3333466323e-01
4.9770235643e-03    3.3255279644e-01    3.3333486239e-01
5.3366992312e-03    3.3249650735e-01    3.3333509138e-01
5.7223676594e-03    3.3243616806e-01    3.3333535466e-01
6.1359072734e-03    3.3237148853e-01    3.3333565737e-01
6.5793322466e-03    3.3230215812e-01    3.3333600541e-01
7.0548023107e-03    3.3222784421e-01    3.3333640557e-01
7.5646332755e-03    3.3214819066e-01    3.3333686566e-01
8.1113083079e-03    3.3206281620e-01    3.3333739465e-01
8.6974900262e-03    3.3197131267e-01    3.3333800286e-01
9.3260334688e-03    3.3187324322e-01    3.3333870216e-01
1.0000000000e-02    3.3176814032e-01    3.3333950618e-01
