#T           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
2       10968776       -1.73794         2.3935       0.884604        7.70854       0.884604        1.43221        29.7091
2.05       12484723       -1.70589        1.91171       0.891949        1.13452       0.891949       0.869634       0.627871
2.1       14624506       -1.66081        2.13972       0.867282        1.57643       0.867282        1.03819         1.1834
2.15       17148256       -1.60871        2.42787       0.833777        1.97708       0.833777        1.27519        1.81808
2.2       20045591       -1.54977        2.79693       0.785682        3.15627       0.785682        1.61628        4.52821
2.25       23949580       -1.47176        3.44476       0.682384        8.24817       0.682544        2.34398         29.887
2.3       28222660       -1.38736         3.4269       0.132907        32.2062       0.520343        2.21997        54.8273
2.35       34282810       -1.27054        3.24329      0.0190783         19.528       0.273919        1.90474        47.8894
2.4       37890133       -1.20348        2.87518     -0.0295501        12.4796       0.172813        1.43518        21.4053
