#T           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
2       10705509       -1.74372        1.80646       0.909167        1.46591       0.909167       0.815823        1.07435
2.05       12471021       -1.70612        1.88606       0.892175        1.09603       0.892175       0.846457       0.585993
2.1       14733485       -1.65867        2.13775       0.865519        1.63186       0.865519        1.03627        1.26808
2.15       17231122       -1.60687        2.40137       0.832395        2.13381       0.832395        1.24751        2.11774
2.2       20051275       -1.54986        2.60256       0.789058        2.76112       0.789058        1.39944        3.46535
2.25       24097087       -1.46886         3.0133       0.697693        4.96383       0.697802        1.79358        10.8427
2.3       28899987       -1.37414        3.45517     -0.0649932         22.796       0.532799        2.25674        31.3986
2.35       33498378       -1.28591         3.0823     -0.0105438        17.0419       0.371135        1.72034          29.88
