#cyc           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
1              0        -0.0125              0     -0.0215625              0      0.0215625              0              0
2              1      0.0228125          0.025     -0.0142188         0.0125      0.0142188     0.00015625     7.8125e-05
4              4       0.011875      0.0353553      0.0028125      0.0176777      0.0028125      0.0003125     0.00015625
8              5     -0.0176562      0.0216506    -0.00320312      0.0108253     0.00320312    0.000117187    5.85937e-05
16             16    -0.00628906      0.0329239      0.0237109      0.0214239      0.0237109    0.000270996    0.000229492
32             22     -0.0144531        0.15039      0.0106348      0.0382653      0.0106348      0.0056543    0.000732117
64             47     -0.0177637       0.341619    -0.00050293      0.0603727    0.000786133      0.0291759    0.000654221
128            102     -0.0196631       0.686218     -0.0204443      0.0578428      0.0204443       0.117724      0.0016729
256            180     -0.0428516       0.975045     -0.0192285      0.0640387      0.0192285       0.237678     0.00205048
512            369     -0.0622424        2.08337     0.00511353       0.168469     0.00511353         1.0851      0.0141909
1024            714      -0.103647        4.92105     0.00164764       0.542253     0.00621674        6.05418      0.0320335
2048           1332      -0.199472        7.50448   -0.000596619       0.183548     0.00195374        14.0793     0.00576935
4096           2547      -0.287352        11.8984     0.00955162       0.409758     0.00955971         35.393      0.0834561
8192           4539      -0.432256        15.2124     0.00444653       0.415623     0.00560055        57.8545      0.0492686
16384           7617       -0.64594        19.6265    0.000562096       0.838374     0.00911751        96.3002      0.0864336
32768          12495      -0.872116        21.7125      0.0104239        1.92228      0.0216878        117.858       0.690129
65536          21250       -1.03706        22.4234      0.0214706         2.4798      0.0304614        125.703         1.5806
131072          33792       -1.22106        20.9996      0.0334532       0.915548      0.0334533        110.245       0.419099
262144          57964       -1.32685         17.046       0.139262        3.94471       0.139605        72.6412        7.47417
524288          97622       -1.42908        14.6402     -0.0251671        2.42415        0.02919         53.584        2.23851
1048576         168303       -1.50473        12.1459       0.246962        11.9924       0.248114        36.8809        70.0835
2097152         296483       -1.56093        9.19517     0.00777633        3.00872       0.030753        21.1378        1.69331
4194304         532931       -1.60298        8.43068      -0.436709        13.3199       0.436709        17.7691        88.7102
8388608        1045934       -1.61045        5.83102       0.131485        5.83515       0.131812         8.5002        16.7491
16777216        1654685       -1.68779        6.21449      -0.679206        18.8825       0.679225        9.65497        178.191
33554432        3499426       -1.67126        5.11325        0.48677        26.9826       0.486774        6.53632        364.017
67108864        5671125       -1.72963        4.31116      -0.832278        18.6671       0.835506        4.64653        157.001
134217728       11098413       -1.73494         3.1738      -0.873574        10.7159       0.873574        2.51826        57.4152
268435456       23981141        -1.7152        3.89593       0.658355         32.102       0.686156        3.79456        395.657
