#cyc           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
1              1          -0.01              0              0              0              0              0              0
2              2         -0.025            0.1        -0.0025           0.05         0.0025         0.0025        0.00125
4              3        -0.0475      0.0866025         0.0075           0.05         0.0075       0.001875        0.00125
8              6         -0.055            0.1      -0.001875      0.0856957       0.003125         0.0025     0.00242187
16             12         -0.095       0.504975     -0.0065625       0.121031      0.0078125        0.06375     0.00373047
32             24      -0.171563       0.606443       -0.02875       0.160078        0.02875      0.0919434      0.0128125
64             40      -0.250781       0.688572     -0.0375781       0.164879      0.0375781       0.118533      0.0135925
128             76      -0.442109        1.18471     -0.0096875       0.390862      0.0155469       0.350883      0.0468152
256            121      -0.683516        1.09461    -0.00480469       0.242353      0.0108203       0.299545      0.0105685
512            174      -0.894395        1.37914       0.024502       0.229296       0.024502        0.47551      0.0262883
1024            250       -1.17792        1.55589     -0.0517383       0.947912      0.0596191       0.605202        0.27375
2048            461       -1.23317        1.18087      -0.115466       0.776464       0.115466       0.348612       0.301448
4096            948       -1.27186        1.22621        -0.1289       0.664533         0.1289       0.375899       0.220802
8192           1654        -1.3943        1.64035      -0.168058        1.19976       0.168058       0.672687       0.719711
16384           3007       -1.43861        1.29983      0.0194293        3.49695       0.161147       0.422388       0.996131
32768           5506       -1.48004        1.88018       0.365908        4.77196       0.368667       0.883767        10.9806
65536           6775       -1.67299         2.2497       0.824405        2.20549       0.824405        1.26529        2.43209
131072          10080       -1.75263        1.66635       0.917611       0.674232       0.917611       0.694181       0.227294
262144          19887       -1.75517        1.68403       0.916873       0.722638       0.916873       0.708988       0.261103
524288          41192       -1.74486        1.66622       0.909333       0.850607       0.909333        0.69407       0.361766
1048576          80653       -1.75083        1.65301       0.913257       0.856045       0.913257       0.683108       0.366407
2097152         157940       -1.75599        1.63855        0.91693       0.783362        0.91693       0.671209       0.306828
4194304         317312       -1.75576        1.66229       0.915909       0.806001       0.915909       0.690799       0.324819
8388608         672865         -1.743        1.72867       0.910271        0.87452       0.910271       0.747076       0.382392
16777216        1336102       -1.74449        1.70264       0.910684       0.872967       0.910684       0.724748       0.381035
33554432        2664130         -1.745        1.68481       0.911398       0.840108       0.911398       0.709645       0.352891
