#cyc           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
1              0         0.0325              0        0.01875              0        0.01875              0              0
2              1         -0.015              0       -0.01375              0        0.01375              0              0
4              4      -0.036875      0.0829156      -0.035625      0.0559017       0.035625     0.00171875      0.0015625
8              5     -0.0109375      0.0992157      0.0009375      0.0484123        0.00125     0.00246094       0.000625
16             11      0.0365625       0.383854      0.0439844      0.0474959      0.0439844      0.0368359     0.00112793
32             19     -0.0120313       0.192739    -0.00746094      0.0618521     0.00746094     0.00928711     0.00191284
64             49      0.0534375       0.616821      0.0323828       0.061694      0.0323828      0.0951172     0.00190308
128             91     0.00105469       0.904642     -0.0140234       0.237495      0.0140234       0.204594      0.0282019
256            176      -0.146279        2.40986     -0.0154346       0.321466      0.0154346        1.45186      0.0516702
512            342      -0.198145        3.66839     0.00718994       0.321097     0.00843018        3.36427      0.0360534
1024            587       -0.31624        5.21082      0.0213391        1.03788      0.0266321        6.78816       0.335473
2048           1073      -0.488259        7.34324      0.0161987       0.801086       0.019364        13.4808       0.230817
4096           1853      -0.707646        9.76901     -0.0543375       0.739749      0.0543375        23.8584       0.273614
8192           3294      -0.851259        10.6477    -0.00382767       0.608433      0.0128856        28.3436      0.0639855
16384           5155       -1.05895         10.334     -0.0279987        1.59026      0.0397601         26.698       0.626908
32768           8978       -1.18439        9.61246       0.155934        2.88563       0.155974        23.0998         4.1535
65536          14551       -1.32564        8.93855       0.103977        3.55332        0.10762        19.9744        5.69647
131072          24411       -1.42181        7.33506     -0.0324704        1.64288      0.0411334        13.4508       0.839434
262144          44436       -1.47141        5.56812      0.0362155         2.4592      0.0546125          7.751        1.68707
524288          62414       -1.63097        5.63435      -0.637294        9.25763       0.637295        7.93647         42.851
1048576         117413       -1.64618         5.5275       0.638404         12.742       0.639125        7.63833        80.4426
2097152         183880         -1.722        4.04835       0.848087        7.37236       0.848144        4.09728        27.0979
4194304         401315       -1.69756        4.04116      -0.701027        13.8231       0.706873        4.08274        88.9547
8388608         769976       -1.70803        3.51082      -0.778341        10.9379       0.779428        3.08146        58.4638
16777216        1363076       -1.73941         2.3214       0.894853        3.67372       0.894854        1.34723        6.74637
33554432        2651522       -1.74615        2.15761        0.90041        3.74743       0.900551        1.16382        6.81754
67108864        5228587       -1.74952        1.84095      -0.910392        1.78512       0.910392       0.847273        1.59293
134217728       10588982       -1.74648        1.82915       0.908324        1.88177       0.908324       0.836445        1.77052
268435456       21362711       -1.74437        1.75459       -0.91039        1.03567        0.91039       0.769645       0.536113
